Neighborhood,Hour,Value
Potrero Hill,18,8.56
Potrero Hill,19,8.48
Potrero Hill,20,8.78
Potrero Hill,21,8.61
Potrero Hill,22,9.01
Potrero Hill,23,9.11
Lone Mountain/USF,0,8.93
Lone Mountain/USF,1,9.08
Lone Mountain/USF,2,9.19
Lone Mountain/USF,3,9.63
Lone Mountain/USF,4,9.53
Lone Mountain/USF,5,10.44
Lone Mountain/USF,6,9.67
Lone Mountain/USF,7,8.90
Lone Mountain/USF,8,8.77
Lone Mountain/USF,9,9.00
Lone Mountain/USF,10,8.98
Lone Mountain/USF,11,8.88
Lone Mountain/USF,12,8.46
Lone Mountain/USF,13,10.91
Lone Mountain/USF,14,9.70
Lone Mountain/USF,15,9.45
Lone Mountain/USF,16,9.21
Lone Mountain/USF,17,8.93
Lone Mountain/USF,18,8.78
Lone Mountain/USF,19,9.10
Lone Mountain/USF,20,11.37
Lone Mountain/USF,21,8.45
Lone Mountain/USF,22,8.29
Lone Mountain/USF,23,8.41
Japantown,0,8.39
Japantown,1,8.55
Japantown,2,8.64
Japantown,3,9.46
Japantown,4,8.72
Japantown,5,9.16
Japantown,6,10.32
Japantown,7,10.21
Japantown,8,9.37
Japantown,9,9.30
Japantown,10,9.16
Japantown,11,9.39
Japantown,12,9.16
Japantown,13,9.53
Japantown,14,9.39
Japantown,15,9.67
Japantown,16,9.41
Japantown,17,9.64
Japantown,18,8.62
Japantown,19,8.71
Japantown,20,8.52
Japantown,21,8.28
Japantown,22,8.82
Japantown,23,8.56
Marina,0,8.88
Marina,1,9.83
Marina,2,9.99
Marina,3,9.36
Marina,4,9.45
Marina,5,9.63
Marina,6,10.78
Marina,7,10.64
Marina,8,9.68
Marina,9,9.44
Marina,10,8.62
Marina,11,8.74
Marina,12,8.86
Marina,13,8.86
Marina,14,8.80
Marina,15,8.82
Marina,16,10.02
Marina,17,9.40
Marina,18,9.44
Marina,19,8.54
Marina,20,8.34
Marina,21,8.73
Marina,22,8.58
Marina,23,9.27
Inner Sunset,0,8.73
Inner Sunset,1,8.41
Inner Sunset,2,8.88
Inner Sunset,3,9.92
Inner Sunset,4,9.74
Inner Sunset,5,10.17
Inner Sunset,6,10.21
Inner Sunset,7,9.78
Inner Sunset,8,9.53
Inner Sunset,9,9.34
Inner Sunset,10,9.01
Inner Sunset,11,8.84
Inner Sunset,12,8.93
Inner Sunset,13,8.76
Inner Sunset,14,8.74
Inner Sunset,15,8.55
Inner Sunset,16,8.82
Inner Sunset,17,9.63
Inner Sunset,18,8.90
Inner Sunset,19,8.48
Inner Sunset,20,8.23
Inner Sunset,21,11.28
Inner Sunset,22,9.27
Inner Sunset,23,9.18
Tenderloin,0,8.20
Tenderloin,1,8.20
Tenderloin,2,8.23
Tenderloin,3,8.44
Tenderloin,4,8.74
Tenderloin,5,8.92
Tenderloin,6,9.46
Tenderloin,7,9.48
Tenderloin,8,9.73
Tenderloin,9,9.77
Tenderloin,10,9.46
Tenderloin,11,9.36
Tenderloin,12,9.34
Tenderloin,13,9.06
Tenderloin,14,9.16
Tenderloin,15,9.19
Tenderloin,16,9.45
Tenderloin,17,9.55
Tenderloin,18,9.03
Tenderloin,19,8.80
Tenderloin,20,8.20
Tenderloin,21,8.49
Tenderloin,22,8.12
Tenderloin,23,8.20
Russian Hill,0,8.75
Russian Hill,1,8.61
Russian Hill,2,8.82
Russian Hill,3,10.10
Russian Hill,4,10.82
Russian Hill,5,11.33
Russian Hill,6,9.61
Russian Hill,7,10.25
Russian Hill,8,9.69
Russian Hill,9,9.25
Russian Hill,10,9.34
Russian Hill,11,8.92
Russian Hill,12,8.98
Russian Hill,13,8.48
Russian Hill,14,8.70
Russian Hill,15,8.63
Russian Hill,16,8.54
Russian Hill,17,9.62
Russian Hill,18,8.73
Russian Hill,19,9.18
Russian Hill,20,8.26
Russian Hill,21,7.99
Russian Hill,22,8.19
Russian Hill,23,8.87
Presidio Heights,0,10.86
Presidio Heights,1,10.41
Presidio Heights,2,9.54
Presidio Heights,3,9.29
Presidio Heights,4,10.63
Presidio Heights,5,9.56
Presidio Heights,6,9.09
Presidio Heights,7,8.88
Presidio Heights,8,9.05
Presidio Heights,9,9.30
Presidio Heights,10,9.03
Presidio Heights,11,9.05
Presidio Heights,12,8.48
Presidio Heights,13,8.67
Presidio Heights,14,9.20
Presidio Heights,15,8.61
Presidio Heights,16,9.19
Presidio Heights,17,8.80
Presidio Heights,18,8.27
Presidio Heights,19,8.40
Presidio Heights,20,7.92
Presidio Heights,21,8.14
Presidio Heights,22,8.38
Presidio Heights,23,9.08
Mission,0,8.41
Mission,1,8.82
Mission,2,8.91
Mission,3,9.03
Mission,4,9.21
Mission,5,9.32
Mission,6,8.73
Mission,7,11.42
Mission,8,9.92
Mission,9,8.96
Mission,10,8.73
Mission,11,8.83
Mission,12,8.45
Mission,13,8.61
Mission,14,8.55
Mission,15,8.94
Mission,16,8.92
Mission,17,8.85
Mission,18,10.37
Mission,19,8.25
Mission,20,8.12
Mission,21,8.17
Mission,22,8.20
Mission,23,9.37
Castro/Upper Market,0,9.90
Castro/Upper Market,1,8.27
Castro/Upper Market,2,9.08
Castro/Upper Market,3,8.97
Castro/Upper Market,4,14.99
Castro/Upper Market,5,8.70
Castro/Upper Market,6,9.13
Castro/Upper Market,7,9.27
Castro/Upper Market,8,8.70
Castro/Upper Market,9,8.76
Castro/Upper Market,10,9.36
Castro/Upper Market,11,8.19
Castro/Upper Market,12,8.39
Castro/Upper Market,13,8.00
Castro/Upper Market,14,8.41
Castro/Upper Market,15,8.38
